Country,State,City,Station,Monitering Board,Latitude,Longitude,Pollutant_id,Pollutant_min,Pollutant_max,Pollutant_avg,AQI range,Concern level
India,Bihar,Muzaffarpur,"MIT Daudpur Kothi, Muzaffarpur ", BSPCB,26.1403345,85.3650192,NO2,1,3,2,3.333333333,Good
India,Bihar,Muzaffarpur,"MIT Daudpur Kothi, Muzaffarpur ", BSPCB,26.1403345,85.3650192,NH3,4,6,5,8.333333333,Good
India,Bihar,Muzaffarpur,"MIT Daudpur Kothi, Muzaffarpur ", BSPCB,26.1403345,85.3650192,SO2,13,13,13,21.66666667,Good
India,Bihar,Muzaffarpur,"MIT Daudpur Kothi, Muzaffarpur ", BSPCB,26.1403345,85.3650192,OZONE,16,38,38,62.82758621,Satisfactory
India,Bihar,Muzaffarpur,"MIT Daudpur Kothi, Muzaffarpur ", BSPCB,26.1403345,85.3650192,CO,36,58,54,89.86206897,Satisfactory
India,Bihar,Muzaffarpur,"MIT Daudpur Kothi, Muzaffarpur ", BSPCB,26.1403345,85.3650192,PM10,64,81,74,145.3793103,Moderate
India,Bihar,Muzaffarpur,"MIT Daudpur Kothi, Muzaffarpur ", BSPCB,26.1403345,85.3650192,PM2.5,87,113,100,231.7241379,Poor
India,Chhattisgarh,Raipur,"Siltara Phase II, Raipur ", CECB,21.371751,81.664929,NH3,2,2,2,3.333333333,Good
India,Chhattisgarh,Raipur,"Siltara Phase II, Raipur ", CECB,21.371751,81.664929,SO2,3,16,6,10,Good
India,Chhattisgarh,Raipur,"Siltara Phase II, Raipur ", CECB,21.371751,81.664929,OZONE,3,4,3,5,Good
India,Chhattisgarh,Raipur,"Siltara Phase II, Raipur ", CECB,21.371751,81.664929,CO,34,36,35,57.75862069,Satisfactory
India,Chhattisgarh,Raipur,"Siltara Phase II, Raipur ", CECB,21.371751,81.664929,NO2,47,54,50,83.10344828,Satisfactory
India,Chhattisgarh,Raipur,"Siltara Phase II, Raipur ", CECB,21.371751,81.664929,PM2.5,69,237,128,306.372093,Very Poor
India,Chhattisgarh,Raipur,"Siltara Phase II, Raipur ", CECB,21.371751,81.664929,PM10,82,166,128,306.372093,Very Poor
India,Chandigarh,Chandigarh,"Sector 25, Chandigarh ", CPCC,30.751462,76.762879,SO2,1,17,7,11.66666667,Good
India,Chandigarh,Chandigarh,"Sector 25, Chandigarh ", CPCC,30.751462,76.762879,OZONE,1,37,19,31.66666667,Good
India,Chandigarh,Chandigarh,"Sector 25, Chandigarh ", CPCC,30.751462,76.762879,NH3,8,9,9,15,Good
India,Chandigarh,Chandigarh,"Sector 25, Chandigarh ", CPCC,30.751462,76.762879,NO2,9,26,16,26.66666667,Good
India,Chandigarh,Chandigarh,"Sector 25, Chandigarh ", CPCC,30.751462,76.762879,CO,20,60,37,61.13793103,Satisfactory
India,Chandigarh,Chandigarh,"Sector 25, Chandigarh ", CPCC,30.751462,76.762879,PM10,54,137,93,207.8275862,Poor
India,Chandigarh,Chandigarh,"Sector 25, Chandigarh ", CPCC,30.751462,76.762879,PM2.5,63,223,126,304.8372093,Very Poor
India,Delhi,Delhi,"Okhla Phase 2, Delhi ", DPCC,28.530785,77.271255,SO2,5,60,14,23.33333333,Good
India,Delhi,Delhi,"Okhla Phase 2, Delhi ", DPCC,28.530785,77.271255,OZONE,8,303,185,350.1162791,Very Poor
India,Delhi,Delhi,"Okhla Phase 2, Delhi ", DPCC,28.530785,77.271255,NH3,19,30,23,38.33333333,Good
India,Delhi,Delhi,"Okhla Phase 2, Delhi ", DPCC,28.530785,77.271255,NO2,82,215,109,262.4482759,Poor
India,Delhi,Delhi,"Okhla Phase 2, Delhi ", DPCC,28.530785,77.271255,CO,102,130,106,252.2068966,Poor
India,Delhi,Delhi,"Okhla Phase 2, Delhi ", DPCC,28.530785,77.271255,PM10,114,267,170,338.6046512,Very Poor
India,Delhi,Delhi,"Okhla Phase 2, Delhi ", DPCC,28.530785,77.271255,PM2.5,240,356,313,425.6506024,Severe
India,Delhi,Delhi,"Dwarka Sector 8, Delhi ", DPCC ,28.5710274,77.0719006,OZONE,1,131,68,124.8965517,Moderate
